id_level1;inform_level1;weight1;id_level2;inform_level2;weight2;id_level3;inform_level3;weight3;id_overall;weight_overall;admin_level;year;retention_period;source_quality;label;source_link;country_code
1;Hazards;0.333333333;1;Natural;0.5;2;Flood;0.2;1.1.2;0.033333333;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;PH
1;Hazards;0.333333333;1;Natural;0.5;2;Flood;0.2;1.1.2;0.033333333;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;MW
1;Hazards;0.333333333;1;Natural;0.5;2;Flood;0.2;1.1.2;0.033333333;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;NP
1;Hazards;0.333333333;1;Natural;0.5;2;Flood;0.2;1.1.2;0.033333333;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;ZMB
1;Hazards;0.333333333;1;Natural;0.5;2;Flood;0.2;1.1.2;0.033333333;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;BEN
1;Hazards;0.333333333;1;Natural;0.5;2;Flood;0.2;1.1.2;0.033333333;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;PER
1;Hazards;0.333333333;1;Natural;0.5;2;Flood;0.2;1.1.2;0.033333333;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;ECU
1;Hazards;0.333333333;1;Natural;0.5;4;Tropical Cyclone;0.2;1.1.4;0.033333333;3;2010;10;3;Cyclone exposure;http://preview.grid.unep.ch/index.php?preview=data&events=cyclones&evcat=7&lang=eng;PH
1;Hazards;0.333333333;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.033333333;3;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;PH
1;Hazards;0.333333333;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.033333333;3;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;MW
1;Hazards;0.333333333;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.033333333;3;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;NP
1;Hazards;0.333333333;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.033333333;3;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;ZMB
1;Hazards;0.333333333;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.033333333;3;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;PER
1;Hazards;0.333333333;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.033333333;3;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;ECU
1;Hazards;0.333333333;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.033333333;3;2010;10;3;Tsunami exposure;http://preview.grid.unep.ch/index.php?preview=data&events=tsunamis&evcat=3&lang=eng;PH
1;Hazards;0.333333333;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.033333333;3;2010;10;3;Tsunami exposure;http://preview.grid.unep.ch/index.php?preview=data&events=tsunamis&evcat=3&lang=eng;PER
1;Hazards;0.333333333;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.033333333;3;2010;10;3;Tsunami exposure;http://preview.grid.unep.ch/index.php?preview=data&events=tsunamis&evcat=3&lang=eng;ECU
